# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	10596
#@/user_id	fwar34_sync
a 	啊	c=7 d=0.803193 t=10596
sha huan jing 	啥環境	c=2 d=0.0285303 t=10596
sha shi hou 	啥時候	c=9 d=0.565525 t=10596
sha wen ti 	啥問題	c=2 d=0.375311 t=10596
sha yi si 	啥意思	c=4 d=0.023053 t=10596
sha yu 	鯊魚	c=0 d=0.0970446 t=10596
sha yu wang 	鯊魚王	c=1 d=0.97531 t=10596
shan 	刪	c=1 d=0.0391639 t=10596
shan chu 	刪除	c=0 d=3.61775e-11 t=10596
shan chu le 	刪除了	c=1 d=3.63588e-10 t=10596
shan le 	刪了	c=1 d=4.35294e-10 t=10596
shang 	上	c=18 d=1.76969 t=10596
shang ci 	上次	c=9 d=0.996674 t=10596
shang de 	上的	c=1 d=0.00293808 t=10596
shang le 	上了	c=5 d=1.97504e-06 t=10596
shang mian 	上面	c=16 d=0.939065 t=10596
shang qu 	上去	c=3 d=0.438655 t=10596
shang shang zhou 	上上週	c=1 d=0.105928 t=10596
shang xian 	上線	c=50 d=4.10813 t=10596
shang xian le 	上線了	c=1 d=3.08977e-07 t=10596
shang zhou 	上週	c=9 d=1.29954 t=10596
shang zhou wu 	上週五	c=1 d=0.0930145 t=10596
shao 	少	c=1 d=0.0744532 t=10596
shao deng 	稍等	c=6 d=1.04006 t=10596
shao deng xia 	少燈下	c=1 d=0.748264 t=10596
shao deng xia 	稍等下	c=4 d=0.752014 t=10596
shao wei 	稍微	c=1 d=0.00115923 t=10596
shao yuan 	少媛	c=1 d=2.28857e-05 t=10596
she bao 	社保	c=1 d=0.00130051 t=10596
she ji 	設計	c=1 d=0.0152222 t=10596
she zhi 	設置	c=12 d=0.387283 t=10596
shen me 	什麼	c=5 d=0.343101 t=10596
sheng 	剩	c=1 d=0.0234005 t=10596
sheng chan xian 	生產線	c=1 d=0.302704 t=10596
sheng ji 	升級	c=12 d=0.665774 t=10596
sheng ji hou 	升級後	c=1 d=8.38003e-10 t=10596
sheng le 	剩了	c=2 d=7.53271e-07 t=10596
sheng xu 	升序	c=1 d=0.0385808 t=10596
shi 	是	c=219 d=3.36526 t=10596
shi 	時	c=2 d=0.270851 t=10596
shi 	溼	c=0 d=0.0847894 t=10596
shi bai 	失敗	c=3 d=1.0162 t=10596
shi bie 	識別	c=1 d=0.00937227 t=10596
shi bu 	是不	c=11 d=0.698886 t=10596
shi bu shi 	是不是	c=1 d=0.00149594 t=10596
shi fou 	是否	c=27 d=1.27138 t=10596
shi ge 	是個	c=1 d=0.00336274 t=10596
shi hou 	時候	c=61 d=2.3691 t=10596
shi hua lu mian 	溼滑路面	c=1 d=0.852144 t=10596
shi ji 	實際	c=1 d=0.0096577 t=10596
shi ji shang 	實際上	c=1 d=0.535261 t=10596
shi jian 	時間	c=29 d=1.63946 t=10596
shi jian chuo 	時間戳	c=4 d=0.0500366 t=10596
shi jian dian 	是檢點	c=1 d=0.0368832 t=10596
shi jian duan 	時間段	c=1 d=0.0181334 t=10596
shi jin zhi 	十進制	c=1 d=5.87485e-08 t=10596
shi li 	實例	c=1 d=0.637628 t=10596
shi na ge 	是哪個	c=1 d=3.66169e-05 t=10596
shi pin 	視頻	c=1 d=0.574072 t=10596
shi shui 	是誰	c=1 d=0.00609675 t=10596
shi ta 	是他	c=1 d=0.0335406 t=10596
shi xia 	試下	c=10 d=1.33674 t=10596
shi xian 	實現	c=2 d=0.0152344 t=10596
shi xu 	時序	c=1 d=0.0169075 t=10596
shi yong 	使用	c=6 d=0.839196 t=10596
shi zai 	是在	c=1 d=0.904837 t=10596
shou 	收	c=1 d=0.0018363 t=10596
shou bu dao 	收不到	c=3 d=0.00527862 t=10596
shou dao 	收到	c=33 d=1.27794 t=10596
shou dao de 	收到的	c=2 d=0.0689068 t=10596
shou dao le 	收到了	c=1 d=0.00349997 t=10596
shou dong 	手動	c=1 d=0.0862936 t=10596
shou ming 	壽命	c=1 d=0.980199 t=10596
shu 	數	c=1 d=0.0133665 t=10596
shu chu 	輸出	c=2 d=1.97045 t=10596
shu ju 	數據	c=14 d=0.631284 t=10596
shu ju ku 	數據庫	c=2 d=0.00155882 t=10596
shu lu 	熟路	c=1 d=0.017953 t=10596
shu ru 	輸入	c=6 d=0.00677882 t=10596
shu ru fa 	輸入法	c=3 d=1.22803 t=10596
shu xing 	屬性	c=4 d=0.869358 t=10596
shu zi 	數字	c=10 d=0.00100276 t=10596
shui 	誰	c=3 d=0.0662222 t=10596
shui jiao 	睡覺	c=0 d=0.0339596 t=10596
shui jiao le 	睡覺了	c=1 d=0.341298 t=10596
shui le 	睡了	c=2 d=0.71225 t=10596
shui mian 	睡眠	c=1 d=0.882497 t=10596
shun xu 	順序	c=1 d=0.0205478 t=10596
shuo 	說	c=21 d=0.641339 t=10596
shuo ba 	說吧	c=3 d=0.421794 t=10596
shuo bu lai 	說不來	c=1 d=1.85508e-05 t=10596
shuo de 	說的	c=3 d=0.737123 t=10596
shuo hua 	說話	c=10 d=0.00115703 t=10596
shuo le 	說了	c=4 d=0.532592 t=10596
shuo ming 	說明	c=3 d=0.650509 t=10596
shuo xia 	說下	c=11 d=0.708983 t=10596
si you 	私有	c=0 d=0.0951229 t=10596
si you bao 	私有包	c=2 d=0.955997 t=10596
song 	宋	c=2 d=0.0143357 t=10596
song wei 	宋隗	c=1 d=7.41323e-09 t=10596
sou 	搜	c=1 d=0.00999258 t=10596
sou bu dao 	搜不到	c=3 d=0.0669094 t=10596
sou dao 	搜到	c=2 d=0.0134341 t=10596
sou gou 	搜狗	c=2 d=1.99501 t=10596
sou ji 	蒐集	c=1 d=0.00683978 t=10596
sou suo 	搜索	c=7 d=0.918512 t=10596
su du fa 	速讀法	c=0 d=0.1 t=10594
su du fa fa sheng de 	速讀法發生地	c=1 d=1 t=10595
su zhou 	蘇州	c=1 d=0.806541 t=10596
suan le 	算了	c=1 d=0.440432 t=10596
suo 	鎖	c=1 d=1.16845e-08 t=10596
suo ding 	鎖定	c=3 d=0.506718 t=10596
suo dou 	所都	c=1 d=0.0116203 t=10596
suo kou 	鎖釦	c=1 d=0.23457 t=10596
suo yi 	所以	c=14 d=0.245889 t=10596
suo you 	所有	c=12 d=0.674422 t=10596
ta 	他	c=12 d=1.17805 t=10596
ta 	她	c=3 d=0.332648 t=10596
ta ban 	踏板	c=1 d=0.873716 t=10596
ta men 	他們	c=8 d=0.798516 t=10596
ta neng 	他能	c=4 d=0.187308 t=10596
ta shuo 	他說	c=2 d=0.0278757 t=10596
tai 	太	c=2 d=0.429557 t=10596
tai 	胎	c=1 d=0.923116 t=10596
tai da 	太大	c=0 d=0.000786762 t=10596
tai da le 	太大了	c=1 d=9.98267e-10 t=10596
tai duo 	太多	c=0 d=0.004573 t=10596
tai duo le 	太多了	c=1 d=0.0459593 t=10596
tai lao 	太老	c=1 d=0.00470091 t=10596
tang 	湯	c=2 d=0.986376 t=10596
tang jun 	湯軍	c=2 d=0.223309 t=10596
tang mu xun 	湯姆遜	c=1 d=2.16646e-07 t=10596
tao 	桃	c=2 d=0.715338 t=10596
tao lun 	討論	c=14 d=2.5569 t=10596
tao lun xia 	討論下	c=2 d=0.00234641 t=10596
tao qin 	桃琴	c=1 d=0.19398 t=10596
te ding 	特定	c=3 d=1.76066 t=10596
te shu 	特殊	c=6 d=1.14591e-05 t=10596
teng 	騰	c=2 d=1.78724 t=10596
teng sen 	藤森	c=1 d=0.882497 t=10596
teng sen 	騰森	c=1 d=0.937067 t=10596
ti ce 	提測	c=2 d=0.00329615 t=10596
ti chu 	踢出	c=1 d=0.362402 t=10596
ti diao 	踢掉	c=1 d=0.000717312 t=10596
ti gong 	提供	c=1 d=0.822835 t=10596
ti jian 	體檢	c=3 d=0.15702 t=10596
ti jiao 	提交	c=8 d=0.985991 t=10596
ti jiao le 	提交了	c=11 d=0.97925 t=10596
ti shi 	提示	c=5 d=0.151326 t=10596
ti shi yin 	提示音	c=2 d=0.588629 t=10596
tian 	田	c=8 d=1.72577 t=10596
tian de 	填的	c=2 d=0.00244185 t=10596
tian jia 	添加	c=27 d=1.78254 t=10596
tian lei 	田磊	c=10 d=1.21058 t=10596
tiao 	條	c=1 d=0.00909528 t=10596
tiao ban 	跳板	c=4 d=0.2334 t=10596
tiao ban ji 	跳板機	c=2 d=0.00708341 t=10596
tiao shi 	調試	c=1 d=0.204948 t=10596
tie 	貼	c=3 d=0.0665368 t=10596
tie dao 	貼到	c=1 d=0.0267827 t=10596
tie xia 	貼下	c=7 d=1.19942 t=10596
ting dao 	聽到	c=0 d=0.000128757 t=10596
ting dian 	停電	c=1 d=0.25284 t=10596
ting zhi 	停止	c=3 d=0.634448 t=10596
tong 	同	c=3 d=0.0640954 t=10596
tong 	通	c=1 d=6.71124e-09 t=10596
tong bu 	同步	c=63 d=0.951414 t=10596
tong bu tong 	通不通	c=1 d=1.64984e-08 t=10596
tong dao 	通道	c=3 d=0.0661992 t=10596
tong guo 	通過	c=4 d=0.50219 t=10596
tong guo le 	通過了	c=1 d=0.463013 t=10596
tong le 	通了	c=2 d=0.120633 t=10596
tong qing 	同慶	c=2 d=0.331347 t=10596
tong shi 	同事	c=8 d=0.381971 t=10596
tong shi 	同時	c=2 d=0.0188787 t=10596
tong xiao 	通宵	c=2 d=0.717817 t=10596
tong yi ge 	同一個	c=2 d=0.0208584 t=10596
tong zhi 	通知	c=26 d=3.43818 t=10596
tu biao 	圖標	c=1 d=0.0407622 t=10596
tuan dui 	團隊	c=3 d=0.0181929 t=10596
tui 	退	c=1 d=0.447088 t=10596
tui chu 	退出	c=13 d=1.34025 t=10596
tui hui 	退會	c=2 d=0.0858709 t=10596
tui huo 	退貨	c=1 d=0.0028799 t=10596
tuo 	拖	c=1 d=0.104874 t=10596
wai hu 	外呼	c=34 d=0.900325 t=10596
wai hu 	外戶	c=13 d=1.71456 t=10596
wan bi 	完畢	c=1 d=9.9295e-06 t=10596
wan cheng 	完成	c=5 d=0.0293049 t=10596
wan le 	完了	c=2 d=6.91589e-07 t=10596
wan shang 	晚上	c=1 d=0.32628 t=10596
wang 	往	c=2 d=0.0293049 t=10596
wang 	王	c=12 d=0.459421 t=10596
wang chong 	王衝	c=1 d=0.000483239 t=10596
wang ji 	忘記	c=1 d=0.0366992 t=10596
wang jian 	王堅	c=18 d=1.25222 t=10596
wang ke qin 	王克欽	c=3 d=0.67032 t=10596
wang le 	忘了	c=1 d=2.91736e-08 t=10596
wang shang 	網上	c=1 d=0.00358858 t=10596
wei 	未	c=0 d=0.00081887 t=10596
wei 	爲	c=14 d=0.686336 t=10596
wei da kai 	未打開	c=1 d=0.00822975 t=10596
wei le 	爲了	c=1 d=0.0140519 t=10596
wei sha 	爲啥	c=10 d=0.296237 t=10596
wei zhi 	位置	c=1 d=0.00362464 t=10596
wen 	問	c=8 d=0.300483 t=10596
wen da 	問答	c=1 d=0.00150344 t=10596
wen dang 	文檔	c=3 d=0.0149587 t=10596
wen ge 	問個	c=1 d=0.00181803 t=10596
wen jian 	文件	c=3 d=0.612626 t=10596
wen ne 	問呢	c=1 d=0.371577 t=10596
wen ti 	問題	c=72 d=2.09856 t=10596
wen xia 	問下	c=35 d=0.993466 t=10596
wo 	我	c=148 d=6.06734 t=10596
wo ba 	我把	c=1 d=0.00484407 t=10596
wo bu tai 	我不太	c=1 d=0.000792752 t=10596
wo de 	我的	c=1 d=0.794534 t=10596
wo dou 	我都	c=1 d=0.000626727 t=10596
wo gai 	我改	c=1 d=0.913931 t=10596
wo gai 	我該	c=1 d=0.909373 t=10596
wo gang 	我剛	c=2 d=0.194958 t=10596
wo gei 	我給	c=1 d=0.527292 t=10596
wo gen 	我跟	c=1 d=0.0161635 t=10596
wo gu ji 	我估計	c=1 d=0.657047 t=10596
wo hen hao de 	我很好的	c=1 d=0.826959 t=10596
wo kan 	我看	c=3 d=0.0586216 t=10596
wo kan kan 	我看看	c=0 d=0.0554327 t=10596
wo kan kan kan 	我看看看	c=1 d=0.557106 t=10596
wo lai 	我來	c=1 d=0.438235 t=10596
wo lie le 	我列了	c=1 d=0.00806679 t=10596
wo men 	我們	c=6 d=0.31839 t=10596
wo rang 	我讓	c=2 d=0.0662056 t=10596
wo shuo 	我說	c=2 d=0.150318 t=10596
wo tian jia 	我添加	c=3 d=0.852144 t=10596
wo wen xia 	我問下	c=3 d=0.487594 t=10596
wo xia 	我下	c=0 d=2.1939e-09 t=10596
wo xia zhou 	我下週	c=1 d=0.532592 t=10596
wo xian 	我先	c=4 d=0.202978 t=10596
wo xian kan xia 	我先看下	c=1 d=0.606531 t=10596
wo xian zai 	我現在	c=2 d=0.839457 t=10596
wo yao 	我要	c=2 d=0.878095 t=10596
wo ye 	我也	c=1 d=3.5725e-09 t=10596
wo yi si 	我意思	c=1 d=0.0497871 t=10596
wo yong 	我用	c=1 d=0.00427488 t=10596
wo yue ge 	我約個	c=4 d=0.411248 t=10596
wo zai 	我再	c=1 d=0.56836 t=10596
wo zai 	我在	c=1 d=0.265803 t=10596
wo zhe bian 	我這邊	c=3 d=0.884067 t=10596
wo zhuan gei 	我轉給	c=1 d=0.00145901 t=10596
wu 	五	c=1 d=0.0202535 t=10596
wu fa 	無法	c=2 d=0.909373 t=10596
wu man lan jiang 	霧滿攔江	c=1 d=0.467666 t=10596
wu yong 	無用	c=1 d=0.0788664 t=10596
xi an 	西安	c=5 d=0.00103122 t=10596
xi jie 	細節	c=1 d=0.0925506 t=10596
xi ma 	西馬	c=1 d=0.00369786 t=10596
xi ping 	息屏	c=1 d=9.85783e-09 t=10596
xi tong 	系統	c=1 d=0.00467746 t=10596
xia 	下	c=68 d=4.00192 t=10596
xia ci 	下次	c=2 d=0.000757869 t=10596
xia fa 	下發	c=1 d=0.0156858 t=10596
xia lai 	下來	c=5 d=0.278687 t=10596
xia mian 	下面	c=3 d=0.264692 t=10596
xia wu 	下午	c=1 d=0.0611149 t=10596
xia xian 	下線	c=1 d=0.414783 t=10596
xia yi ci 	下一次	c=1 d=0.0448245 t=10596
xia yu tian 	下雨天	c=1 d=0.839457 t=10596
xia zai 	下載	c=3 d=0.208045 t=10596
xia zhou 	下週	c=6 d=1.19433 t=10596
xian 	先	c=31 d=1.49405 t=10596
xian 	線	c=1 d=0.460704 t=10596
xian cheng 	線程	c=1 d=0.0175097 t=10596
xian gai wei 	先改爲	c=1 d=0.955997 t=10596
xian gen 	先跟	c=1 d=0.0325493 t=10596
xian kan xia 	先看下	c=1 d=0.00148848 t=10596
xian rang 	先讓	c=4 d=0.0522613 t=10596
xian shang 	線上	c=18 d=0.662388 t=10596
xian shao 	鮮少	c=0 d=0.0737123 t=10596
xian shao deng xia 	鮮少燈下	c=1 d=0.740818 t=10596
xian shi 	顯示	c=6 d=0.722487 t=10596
xian shi bu chu lai 	顯示不出來	c=1 d=0.307279 t=10596
xian shi qi 	顯示器	c=4 d=3.0778e-08 t=10596
xian xia 	線下	c=12 d=0.744627 t=10596
xian yan zheng 	先驗證	c=1 d=0.161218 t=10596
xian you 	現有	c=2 d=0.0235177 t=10596
xian zai 	現在	c=54 d=2.11573 t=10596
xian zhi 	限制	c=2 d=6.91614e-06 t=10596
xiang 	像	c=1 d=0.0161882 t=10596
xiang 	向	c=1 d=0.634448 t=10596
xiang 	想	c=3 d=0.00289454 t=10596
xiang 	響	c=1 d=0.782705 t=10596
xiang 	項	c=5 d=0.0814098 t=10596
xiang guan 	相關	c=4 d=1.68109e-06 t=10596
xiang mu 	項目	c=0 d=0.0873716 t=10596
xiang mu jiu 	項目就	c=1 d=0.878095 t=10596
xiang ying 	相應	c=1 d=0.000105163 t=10596
xiao feng 	小峯	c=3 d=0.676782 t=10596
xiao hui 	孝輝	c=1 d=2.86602e-05 t=10596
xiao xi 	消息	c=39 d=1.52231 t=10596
xie 	些	c=4 d=1.74334 t=10596
xie 	寫	c=2 d=0.0343896 t=10596
xie chu 	寫出	c=1 d=0.00535353 t=10596
xie cuo 	寫錯	c=0 d=2.96196e-11 t=10596
xie cuo le 	寫錯了	c=2 d=0.00802655 t=10596
xie de 	寫的	c=1 d=0.000623601 t=10596
xie le 	寫了	c=0 d=0.00057994 t=10596
xie xia 	寫下	c=3 d=0.0278757 t=10596
xin 	新	c=4 d=0.0728754 t=10596
xin ban ben 	新版本	c=2 d=8.05607e-09 t=10596
xin bao ge 	新報個	c=1 d=0.00100779 t=10596
xin de 	新的	c=11 d=0.778801 t=10596
xin jue se 	新角色	c=3 d=0.178086 t=10596
xin ling 	信令	c=36 d=1.99469 t=10596
xin ling 	心靈	c=1 d=0.425283 t=10596
xin luo 	新羅	c=0 d=3.82034e-05 t=10596
xin luo ji 	新羅機	c=1 d=0.000383949 t=10596
xin tian jia 	新添加	c=1 d=3.70933e-10 t=10596
xin xi 	信息	c=11 d=0.0660458 t=10596
xing 	行	c=6 d=0.120032 t=10596
xing ba 	行吧	c=1 d=0.0911727 t=10596
xing bu 	行不	c=1 d=0.00100276 t=10596
xing hao 	型號	c=2 d=0.900949 t=10596
xiu 	修	c=1 d=0.960789 t=10596
xiu fu 	修復	c=60 d=3.39149 t=10596
xiu fu le 	修復了	c=6 d=0.31823 t=10596
xiu gai 	修改	c=21 d=1.19323 t=10596
xiu mian 	休眠	c=3 d=2.8273e-06 t=10596
xu 	續	c=1 d=0.018968 t=10596
xu fei 	許菲	c=1 d=0.0146253 t=10596
xu ni 	虛擬	c=27 d=4.24362 t=10596
xu ni ji 	虛擬機	c=1 d=5.56141e-10 t=10596
xu ni zhu chi ren 	虛擬主持人	c=1 d=0.000792752 t=10596
xu qiu 	需求	c=3 d=0.404546 t=10596
xu yao 	需要	c=69 d=2.48181 t=10596
xuan se 	選色	c=1 d=1.21279e-05 t=10596
xuan ze 	選擇	c=2 d=0.00192806 t=10596
xue xi 	學習	c=1 d=0.0869358 t=10596
ya chi 	牙齒	c=1 d=0.00132678 t=10596
ya gen 	牙根	c=1 d=0.00134683 t=10596
yan chang 	延長	c=1 d=0.000816895 t=10596
yan fa 	研發	c=4 d=0.00103639 t=10596
yan zheng 	驗證	c=9 d=3.32402 t=10596
yan zheng xia 	驗證下	c=1 d=0.421052 t=10596
yang 	楊	c=1 d=0.151644 t=10596
yang ru ru 	癢如如	c=1 d=0.00486835 t=10596
yang xiao feng 	楊小峯	c=1 d=0.579842 t=10596
yao 	要	c=50 d=1.60888 t=10596
yao ba 	要把	c=1 d=0.00285124 t=10596
yao bu 	要不	c=9 d=0.743368 t=10596
yao chu 	要出	c=1 d=7.69716e-10 t=10596
yao gai 	要改	c=1 d=0.082085 t=10596
yao gen 	要跟	c=2 d=0.102284 t=10596
yao kai da 	要開打	c=1 d=0.133989 t=10596
yao kan 	要看	c=2 d=0.012259 t=10596
yao kan dai ma 	要看代碼	c=1 d=0.00366107 t=10596
yao me 	要麼	c=4 d=0.262154 t=10596
yao qing 	邀請	c=2 d=0.00116434 t=10596
yao qu 	要去	c=2 d=0.306899 t=10596
yao wen 	要問	c=1 d=0.106992 t=10596
yao zai 	要在	c=1 d=0.657047 t=10596
ye 	也	c=30 d=1.34358 t=10596
ye hui 	也會	c=1 d=0.290835 t=10596
ye ke yi 	也可以	c=1 d=1.32084e-09 t=10596
ye mei you 	也沒有	c=1 d=0.00139481 t=10596
ye neng 	也能	c=1 d=0.137381 t=10596
ye shi 	也是	c=6 d=0.103761 t=10596
ye tie xia 	也貼下	c=1 d=0.625002 t=10596
ye wu 	業務	c=5 d=0.749778 t=10596
ye xu yao 	也需要	c=1 d=0.565525 t=10596
ye yao 	也要	c=2 d=0.0042963 t=10596
ye zhi 	也只	c=0 d=0.000634556 t=10596
ye zhi chi 	也支持	c=1 d=0.00465413 t=10596
ye zhi shi 	也只是	c=1 d=0.00637737 t=10596
yi 	一	c=2 d=0.237745 t=10596
yi 	以	c=2 d=0.000303744 t=10596
yi 	已	c=1 d=0.0955997 t=10596
yi 	翼	c=1 d=1 t=10596
yi ban 	一版	c=1 d=0.427415 t=10596
yi ban 	一般	c=1 d=2.17695e-05 t=10596
yi chang 	一場	c=1 d=6.2694e-08 t=10596
yi chang 	異常	c=6 d=0.000134428 t=10596
yi ci 	一次	c=11 d=0.378938 t=10596
yi cun zai 	已存在	c=1 d=0.00790705 t=10596
yi dian 	一點	c=2 d=0.0362961 t=10596
yi dong 	移動	c=2 d=0.640824 t=10596
yi dong duan 	移動端	c=4 d=7.63319e-09 t=10596
yi duan 	一段	c=1 d=0.00114769 t=10596
yi fang kuo hao 	一方括號	c=1 d=0.985112 t=10596
yi ge 	一個	c=33 d=1.1125 t=10596
yi hang 	一行	c=1 d=0.985112 t=10596
yi hou 	以後	c=2 d=0.0948935 t=10596
yi hui 	一會	c=6 d=1.02077 t=10596
yi jie jue 	已解決	c=1 d=0.960789 t=10596
yi jin qu 	一進去	c=1 d=0.0356146 t=10596
yi jing 	已經	c=45 d=1.85756 t=10596
yi kai shi 	一開始	c=1 d=0.548812 t=10596
yi lai 	依賴	c=4 d=0.000100349 t=10596
yi miao 	一秒	c=1 d=5.7595e-10 t=10596
yi mo yi yang 	一模一樣	c=1 d=0.0195457 t=10596
yi nei 	以內	c=1 d=0.000982903 t=10596
yi qi 	一起	c=6 d=0.304235 t=10596
yi qian 	以前	c=11 d=0.284704 t=10596
yi si 	意思	c=1 d=0.013308 t=10596
yi tao 	一套	c=1 d=0.0475963 t=10596
yi tiao 	一條	c=2 d=0.0170511 t=10596
yi xie 	一些	c=4 d=0.305746 t=10596
yi yang 	一樣	c=11 d=1.18109 t=10596
yi zhi 	一直	c=18 d=1.23214 t=10596
yi zhi 	已知	c=0 d=4.7843e-05 t=10596
yi zhi wen ti 	已知問題	c=1 d=0.000480828 t=10596
yin 	音	c=2 d=0.138069 t=10596
yin cang 	隱藏	c=1 d=0.677057 t=10596
yin pin 	音頻	c=53 d=1.27088 t=10596
yin ping 	銀屏	c=3 d=0.941821 t=10596
yin qi 	引起	c=3 d=0.284691 t=10596
yin qing 	引擎	c=3 d=0.0228886 t=10596
yin ru 	引入	c=4 d=0.242991 t=10596
yin shi pin 	音視頻	c=7 d=0.0313943 t=10596
yin wei 	因爲	c=9 d=0.805534 t=10596
yin xiang 	印象	c=1 d=0.00572688 t=10596
yin yue 	音樂	c=1 d=0.0106202 t=10596
ying da 	應答	c=22 d=0.600168 t=10596
ying gai 	應該	c=54 d=3.34891 t=10596
ying gai hui 	應該會	c=1 d=0.0209629 t=10596
ying gai shi 	應該是	c=1 d=0.0518189 t=10596
ying pan 	硬盤	c=2 d=0.00797265 t=10596
ying wen 	英文	c=2 d=0.00313352 t=10596
ying xiang 	影響	c=7 d=0.887124 t=10596
ying yong 	應用	c=4 d=1.17793 t=10596
ying yong cheng xu 	應用程序	c=1 d=0.591555 t=10596
yong 	勇	c=3 d=0.00359001 t=10596
yong 	用	c=16 d=1.37788 t=10596
yong de 	用的	c=3 d=0.000893825 t=10596
yong fa 	用法	c=1 d=0.0443785 t=10596
yong hu 	用戶	c=79 d=3.52486 t=10596
yong li 	用例	c=3 d=1.34515e-07 t=10596
yong xia 	用下	c=1 d=0.000221519 t=10596
yong yuan 	永遠	c=3 d=0.213124 t=10596
yong zhe ge 	用這個	c=1 d=1.74313e-08 t=10596
you 	又	c=9 d=0.939258 t=10596
you 	右	c=27 d=2.45548 t=10596
you 	有	c=78 d=2.81325 t=10596
you de 	又得	c=1 d=0.319819 t=10596
you de 	有的	c=2 d=0.00737249 t=10596
you dian 	有點	c=1 d=0.000508015 t=10596
you duo ge 	有多個	c=1 d=0.000696112 t=10596
you ge 	有個	c=17 d=0.950419 t=10596
you guo 	有過	c=2 d=0.0812691 t=10596
you hua 	優化	c=12 d=1.95138 t=10596
you ji ge 	有幾個	c=1 d=0.00144449 t=10596
you jian 	右鍵	c=3 d=0.763379 t=10596
you jian 	郵件	c=11 d=0.598177 t=10596
you jian kong 	有監控	c=1 d=0.00113061 t=10596
you jian le 	郵件了	c=1 d=0.324652 t=10596
you ke neng 	有可能	c=1 d=4.73831e-08 t=10596
you kong 	有空	c=17 d=0.774914 t=10596
you kong le 	有空了	c=1 d=0.00065886 t=10596
you kong me 	有空麼	c=3 d=0.130124 t=10596
you sha 	有啥	c=2 d=0.0182299 t=10596
you sha wen ti 	有啥問題	c=1 d=0.0166557 t=10596
you shi 	又是	c=1 d=0.11475 t=10596
you shi hou 	有時候	c=3 d=0.205977 t=10596
you wen ti 	有問題	c=11 d=0.519442 t=10596
you xie 	有些	c=7 d=0.0420573 t=10596
you yong 	有用	c=1 d=1.58133e-09 t=10596
you yu 	由於	c=5 d=0.00620085 t=10596
you zhe ge 	有這個	c=1 d=0.571209 t=10596
yu yin 	語音	c=4 d=0.441033 t=10596
yuan cheng 	遠程	c=1 d=0.150318 t=10596
yuan duan 	遠端	c=1 d=0.0057417 t=10596
yuan lai 	原來	c=1 d=0.0692522 t=10596
yuan yin 	原因	c=9 d=0.862695 t=10596
yue 	月	c=4 d=0.960789 t=10596
yue 	約	c=1 d=0.106459 t=10596
yue ge 	樂歌	c=1 d=0.790571 t=10596
yue ge 	約個	c=7 d=1.37032 t=10596
yue hui 	約會	c=2 d=0.287941 t=10596
yun 	雲	c=3 d=0.802519 t=10596
yun hui yi 	雲會議	c=4 d=0.0837491 t=10596
yun le 	雲了	c=1 d=0.000312783 t=10596
yun wei 	運維	c=11 d=0.932394 t=10596
yun xing 	運行	c=2 d=0.0115624 t=10596
za 	咋	c=6 d=0.913931 t=10596
za le 	咋了	c=1 d=3.09724e-06 t=10596
za nong 	咋弄	c=1 d=7.12013e-05 t=10596
za yang 	咋樣	c=2 d=0.748308 t=10596
zai 	再	c=54 d=4.11239 t=10596
zai 	在	c=53 d=2.63081 t=10596
zai ce shi xia 	再測試下	c=1 d=0.318224 t=10596
zai cha 	在查	c=1 d=0.062662 t=10596
zai ci 	再次	c=3 d=0.048517 t=10596
zai gong si 	在公司	c=1 d=0.644036 t=10596
zai hou 	在後	c=1 d=0.143704 t=10596
zai kan 	再看	c=2 d=0.111917 t=10596
zai kan xia 	再看下	c=1 d=2.75458e-09 t=10596
zai na 	在哪	c=0 d=0.00575558 t=10596
zai na ge 	在哪個	c=1 d=0.0578443 t=10596
zai shi xia 	再試下	c=2 d=0.830322 t=10596
zai wen 	在問	c=1 d=0.759572 t=10596
zai xian 	在線	c=1 d=0.00283702 t=10596
zan me 	咱麼	c=2 d=0.224107 t=10596
zan men 	咱們	c=6 d=0.238805 t=10596
zao 	早	c=1 d=0.329559 t=10596
zao dian 	早點	c=2 d=6.43181e-07 t=10596
zao shang 	早上	c=8 d=1.81947 t=10596
ze 	則	c=1 d=0.000107287 t=10596
zen me 	怎麼	c=12 d=1.24689 t=10596
zhan yong 	佔用	c=1 d=0.00442715 t=10596
zhang 	張	c=1 d=0.995012 t=10596
zhang hao 	帳號	c=6 d=0.0168808 t=10596
zhao 	找	c=11 d=0.532413 t=10596
zhao bu dao 	找不到	c=2 d=0.00806412 t=10596
zhao dao 	找到	c=1 d=0.00111378 t=10596
zhao ge 	找個	c=1 d=4.21338e-09 t=10596
zhao jian le 	找見了	c=2 d=0.0565025 t=10596
zhao ni 	找你	c=2 d=0.900397 t=10596
zhao shui 	找誰	c=1 d=2.27715e-05 t=10596
zhao ta 	找他	c=2 d=0.0550232 t=10596
zhao wei 	召偉	c=19 d=0.147666 t=10596
zhao xia 	找下	c=4 d=0.00101284 t=10596
zhe 	着	c=6 d=0.00636227 t=10596
zhe 	者	c=3 d=1.01519e-07 t=10596
zhe 	這	c=6 d=0.125192 t=10596
zhe bian 	這邊	c=19 d=0.789401 t=10596
zhe chang 	這場	c=2 d=0.0593087 t=10596
zhe ci 	這次	c=3 d=0.479841 t=10596
